Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,281.470001,282.130005,277.019989,278.510010,266.748230,4418500
2018-10-19,279.260010,281.369995,277.589996,278.269989,266.518372,3043300
2018-10-22,279.059998,279.410004,276.440002,277.220001,265.512695,3852700
2018-10-23,272.959991,276.890015,270.609985,275.570007,263.932373,5541400
2018-10-24,275.390015,275.790009,266.640015,267.140015,255.858383,5209200
2018-10-25,269.369995,273.829987,268.200012,272.019989,260.532288,4590500
2018-10-26,267.869995,270.730011,264.239990,267.100006,255.820084,7153700
2018-10-29,270.839996,272.250000,261.850006,265.609985,254.393036,6301500
2018-10-30,265.640015,270.119995,265.079987,269.859985,258.463470,9531100
2018-10-31,272.790009,275.239990,272.179993,272.760010,261.241028,7040700
2018-11-01,273.660004,275.760010,272.410004,275.420013,263.788757,3428700
2018-11-02,276.750000,277.250000,271.609985,273.890015,262.323334,3391900
2018-11-05,274.579987,276.040009,273.390015,275.570007,263.932373,5606200
2018-11-06,275.399994,277.339996,275.309998,277.160004,265.455231,2430900
2018-11-07,279.630005,283.230011,279.179993,283.130005,271.173065,7669100
2018-11-08,282.299988,283.329987,281.350006,282.519989,270.588959,7660600
2018-11-09,281.149994,281.339996,278.250000,279.959991,268.136993,5327400
2018-11-12,279.250000,279.510010,274.010010,274.510010,262.917175,3786800
2018-11-13,275.109985,277.369995,273.260010,274.109985,262.534027,5396800
2018-11-14,276.200012,276.649994,270.429993,272.209991,260.714294,4614900
2018-11-15,270.809998,275.570007,268.959991,274.959991,263.348145,6163900
2018-11-16,273.829987,276.730011,273.290009,275.739990,264.095184,3803900
2018-11-19,275.109985,275.369995,270.079987,271.130005,259.679932,3555700
2018-11-20,267.309998,268.959991,265.089996,266.100006,254.862305,6274100
2018-11-21,267.799988,269.089996,266.959991,266.959991,255.686020,4247100
2018-11-23,265.100006,266.760010,265.019989,265.309998,254.105682,1660900
2018-11-26,267.760010,269.529999,267.309998,269.470001,258.089966,3187200
2018-11-27,268.450012,270.350006,267.619995,270.320007,258.904083,4565100
2018-11-28,271.609985,276.630005,270.519989,276.630005,264.947632,5484700
2018-11-29,275.779999,277.630005,274.489990,276.070007,264.411285,4901300
2018-11-30,275.859985,278.380005,275.500000,278.000000,266.259735,7603600
2018-12-03,282.429993,282.579987,279.589996,281.369995,269.487488,5885800
2018-12-04,280.489990,280.929993,271.940002,272.529999,261.020752,6727800
2018-12-06,267.920013,271.970001,264.359985,271.820007,260.340729,8536300
2018-12-07,271.450012,273.269989,264.589996,265.600006,254.383438,6089100
2018-12-10,265.339996,267.119995,260.510010,266.000000,254.766556,8522700
2018-12-11,269.609985,269.820007,264.410004,266.049988,254.814377,4526500
2018-12-12,269.480011,270.940002,267.350006,267.489990,256.193604,3879400
2018-12-13,268.440002,269.459991,266.070007,267.239990,255.954147,5215800
2018-12-14,264.899994,265.970001,261.750000,262.399994,251.318558,6080500
2018-12-17,259.980011,261.109985,253.940002,255.649994,246.206635,9320600
2018-12-18,257.670013,258.350006,253.710007,255.619995,246.177750,10267600
2018-12-19,255.589996,259.829987,249.729996,251.740005,242.441071,13166500
2018-12-20,250.220001,251.940002,244.979996,247.429993,238.290268,13684400
2018-12-21,248.550003,251.410004,241.720001,242.350006,233.397919,14262700
2018-12-24,240.800003,242.000000,236.039993,236.089996,227.369141,6419000
2018-12-26,237.729996,247.889999,235.460007,247.669998,238.521393,13154100
2018-12-27,244.330002,250.070007,240.669998,250.059998,240.823105,12693600
2018-12-28,251.029999,252.880005,247.949997,249.330002,240.429688,10856300
2018-12-31,251.039993,251.630005,248.990005,251.610001,242.628311,10117800
2019-01-02,247.539993,252.699997,247.419998,251.720001,242.734375,5980000
2019-01-03,249.789993,250.029999,245.080002,245.429993,236.668900,5831100
2019-01-04,249.059998,254.589996,248.639999,254.059998,244.990829,6430100
2019-01-07,254.240005,257.459991,253.210007,255.770004,246.639786,5961000
2019-01-08,258.380005,258.820007,255.520004,258.290009,249.069855,5348500
2019-01-09,259.089996,260.480011,257.720001,259.489990,250.227005,4097000
2019-01-10,257.820007,260.700012,257.079987,260.510010,251.210587,4325600
2019-01-11,259.239990,260.519989,258.570007,260.369995,251.075592,5111600
2019-01-14,258.399994,259.809998,257.950012,259.109985,249.860565,3709900
2019-01-15,259.369995,262.200012,259.369995,261.910004,252.560623,3781800
2019-01-16,262.359985,263.519989,262.160004,262.600006,253.226013,4387500
2019-01-17,261.619995,265.459991,261.519989,264.529999,255.087082,4446800
2019-01-18,266.559998,268.570007,265.700012,268.070007,258.500763,6994200
2019-01-22,266.369995,266.589996,262.640015,264.500000,255.058167,5992300
2019-01-23,265.619995,266.339996,262.260010,264.880005,255.424637,6762400
2019-01-24,264.790009,265.769989,263.670013,265.140015,255.675323,3731700
2019-01-25,267.190002,268.269989,266.709991,267.500000,257.951111,3333900
2019-01-28,265.000000,265.410004,263.350006,265.350006,255.877808,4425100
2019-01-29,265.470001,266.089996,264.079987,264.980011,255.520996,4454100
