Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,23.500000,24.132000,23.219999,23.330000,23.330000,15582300
2018-10-19,23.940001,23.950001,22.950001,23.010000,23.010000,12970000
2018-10-22,23.860001,24.110001,23.299999,23.540001,23.540001,13939900
2018-10-23,22.610001,23.590000,22.330000,23.230000,23.230000,17949600
2018-10-24,23.180000,23.200001,21.690001,21.760000,21.760000,22822200
2018-10-25,22.049999,22.590000,21.910000,22.559999,22.559999,13330200
2018-10-26,21.670000,22.930000,21.580000,22.580000,22.580000,18085100
2018-10-29,22.700001,23.020000,21.690001,21.980000,21.980000,15114500
2018-10-30,22.070000,22.469999,21.700001,22.379999,22.379999,12069100
2018-10-31,22.870001,23.590000,22.570000,23.520000,23.520000,19094100
2018-11-01,23.719999,25.760000,23.200001,25.450001,25.450001,25744000
2018-11-02,25.540001,25.600000,23.840000,24.049999,24.049999,26777600
2018-11-05,23.940001,24.459999,23.650000,24.150000,24.150000,10519600
2018-11-06,24.100000,24.469999,23.450001,23.600000,23.600000,10321400
2018-11-07,24.020000,24.160000,23.469999,24.070000,24.070000,10476700
2018-11-08,23.850000,23.870001,22.379999,22.400000,22.400000,17331600
2018-11-09,22.000000,22.480000,21.580000,21.700001,21.700001,17573400
2018-11-12,21.920000,22.379999,21.459999,22.010000,22.010000,14257100
2018-11-13,22.240000,22.790001,22.170000,22.389999,22.389999,14807600
2018-11-14,22.750000,23.080000,22.500000,22.760000,22.760000,11823900
2018-11-15,22.900000,24.270000,22.809999,24.200001,24.200001,24377700
2018-11-16,23.680000,24.000000,22.600000,23.049999,23.049999,23225900
2018-11-19,22.450001,22.830000,20.930000,21.110001,21.110001,42137000
2018-11-20,20.480000,20.500000,19.270000,19.490000,19.490000,41355000
2018-11-21,20.000000,20.690001,19.920000,20.340000,20.340000,29173400
2018-11-23,19.860001,19.879999,19.209999,19.270000,19.270000,18858200
2018-11-26,19.760000,20.783001,19.750000,20.459999,20.459999,22571800
2018-11-27,20.190001,21.028000,20.110001,20.840000,20.840000,14539300
2018-11-28,21.320000,21.410000,20.610001,21.379999,21.379999,16977700
2018-11-29,21.049999,21.150000,20.379999,20.969999,20.969999,13441400
2018-11-30,21.000000,21.260000,20.559999,21.230000,21.230000,10591200
2018-12-03,22.360001,22.490000,21.770000,22.010000,22.010000,19812700
